Date,Bitcoin Core (BTC) Price,Market Capitalization,Money Supply,Chain Value Density,Price Volatility,Daily Transactions,Transaction Value,Total Transactions,Miner Revenue,Hash Rate,Difficulty,Inflation Rate,Transaction Size,Output Volume,ETH_USD,Ripple_USD,VIX Index,SPX Index,US 3MTH LIBOR
1/1/2010,0,0,1624700,0,,138,0,32713,6900,7.65E-06,1,56.3042,136,0,,,21.68,1115.1,0.25063
1/2/2010,0,0,1631300,0,,134,0,32847,6600,7.53E-06,1,56.2034,136,100,,,21.68,1115.1,0.25063
1/3/2010,0,0,1637600,0,,126,0,32973,6300,7.19E-06,1,56.1022,136,0,,,21.68,1115.1,0.25063
1/4/2010,0,0,1646900,0,,186,0,33159,9300,7.32E-06,1,56.0296,136,0,,,20.04,1132.98,0.25438
1/5/2010,0,0,1655950,0,,183,0,33342,9050,7.63E-06,1,55.9413,162,20804.35,,,19.35,1136.52,0.2525
1/6/2010,0,0,1665850,0,,198,0,33540,9900,7.83E-06,1,55.8413,136,0,,,19.16,1137.14,0.25
1/7/2010,0,0,1674000,0,,163,0,33703,8150,7.98E-06,1,55.7419,136,0,,,19.06,1141.7,0.24938
1/8/2010,0,0,1681700,0,,154,0,33857,7700,8.10E-06,1,55.6569,136,0,,,18.13,1144.98,0.25125
1/9/2010,0,0,1689350,0,,153,0,34010,7650,8.24E-06,1,55.5214,136,0,,,18.13,1144.98,0.25125
1/10/2010,0,0,1696900,0,,151,0,34161,7550,8.42E-06,1,55.4073,136,0,,,18.13,1144.98,0.25125
1/11/2010,0,0,1706400,0,,190,0,34351,9500,8.45E-06,1,55.2825,136,0,,,17.55,1146.98,0.25125
1/12/2010,0,0,1714350,0,,159,0,34510,7950,8.29E-06,1,55.1241,136,0,,,18.25,1136.22,0.25125
1/13/2010,0,0,1722300,0,,161,0,34671,7950.26,8.02E-06,1,55.0085,187,10799.62,,,17.85,1145.68,0.25125
1/14/2010,0,0,1730500,0,,166,0,34837,8200,8.02E-06,1,54.8661,136,58,,,17.63,1148.46,0.25125
1/15/2010,0,0,1737650,0,,145,0,34982,7150,7.95E-06,1,54.7329,139,405,,,17.91,1136.03,0.25125
1/16/2010,0,0,1744700,0,,142,0,35124,7050,7.86E-06,1,54.5936,137,200.74,,,17.91,1136.03,0.25125
1/17/2010,0,0,1750950,0,,126,0,35250,6250,7.68E-06,1,54.4515,138,251,,,17.91,1136.03,0.25125
1/18/2010,0,0,1757500,0,,131,0,35381,6550,7.26E-06,1,54.3146,136,0,,,17.91,1136.03,0.25125
1/19/2010,0,0,1763750,0,,126,0,35507,6250,7.02E-06,1,54.1616,136,50,,,17.58,1150.23,0.24875
1/20/2010,0,0,1769950,0,,124,0,35631,6200,6.77E-06,1,53.9688,135,0,,,18.68,1138.04,0.249
1/21/2010,0,0,1777850,0,,158,0,35789,7900,6.73E-06,1,53.7633,135,0,,,22.27,1116.48,0.24888
1/22/2010,0,0,1786600,0,,184,0,35973,8750,6.95E-06,1,53.5637,141,688.29,,,27.31,1091.76,0.24888
1/23/2010,0,0,1793250,0,,136,0,36109,6650,6.90E-06,1,53.4045,137,250,,,27.31,1091.76,0.24888
1/24/2010,0,0,1801250,0,,162,0,36271,8000,7.14E-06,1,53.3349,136,51,,,27.31,1091.76,0.24888
1/25/2010,0,0,1808950,0,,155,0,36426,7700,7.31E-06,1,53.2018,136,50,,,25.41,1096.79,0.24906
1/26/2010,0,0,1819500,0,,215,0,36641,10550,7.92E-06,1,53.0584,152,3300,,,24.55,1092.17,0.24875
1/27/2010,0,0,1829250,0,,201,0,36842,9750,8.42E-06,1,52.8817,139,873,,,23.14,1097.5,0.24875
1/28/2010,0,0,1837450,0,,166,0,37008,8200,8.46E-06,1,52.6886,142,1000,,,23.73,1084.53,0.24875
1/29/2010,0,0,1846300,0,,179,0,37187,8850,8.48E-06,1,52.5525,142,1050,,,24.62,1073.87,0.24875
1/30/2010,0,0,1856150,0,,201,0,37388,9850,8.93E-06,1,52.3766,140,950,,,24.62,1073.87,0.24875
1/31/2010,0,0,1866650,0,,214,0,37602,10500,9.29E-06,1,52.1459,144,1700,,,24.62,1073.87,0.24875
2/1/2010,0,0,1874900,0,,167,0,37769,8250,9.37E-06,1,51.9466,142,1100,,,22.59,1089.19,0.24906
2/2/2010,0,0,1884100,0,,193,0,37962,9200,9.18E-06,1,51.88,141,2600,,,21.48,1103.32,0.24906
2/3/2010,0,0,1891350,0,,146,0,38108,7250,8.82E-06,1,51.8464,143,1050,,,21.6,1097.28,0.25031
2/4/2010,0,0,1904850,0,,272,0,38380,13500,9.57E-06,1,51.7781,136,300,,,26.08,1063.11,0.24906
2/5/2010,0,0,1916300,0,,234,0,38614,11450,1.16E-05,2,51.6605,145,2049.99,,,26.11,1066.19,0.24875
